date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,home_sum,away_sum,year,home_win,home_draw,home_lose
2020.11.17,Paraguay,Bolivia,South America,South America,35,79,1476,1314,2,2,FIFA World Cup qualification,Asunción,Paraguay,FALSE,No,Draw,72,69,74.8,74.7,77.5,69.2,66.7,69.5,299,274.4,2020,FALSE,TRUE,FALSE
2020.11.17,Uruguay,Brazil,South America,South America,7,3,1637,1725,0,2,FIFA World Cup qualification,Montevideo,Uruguay,FALSE,No,Lose,79,89,80,83,80,84,86,84,322,343,2020,FALSE,FALSE,TRUE
2020.11.18,Bosnia and Herzegovina,Italy,Europe,Europe,51,12,1424,1612,0,2,UEFA Nations League,Sarajevo,Bosnia and Herzegovina,FALSE,No,Lose,75,85,74,76.3,80,84.5,84.3,82.5,305.3,336.3,2020,FALSE,FALSE,TRUE
2020.11.18,Poland,Netherlands,Europe,Europe,18,15,1568,1596,1,2,UEFA Nations League,Chorzów,Poland,FALSE,No,Lose,86,79,73,91,75,82,83,83,325,327,2020,FALSE,FALSE,TRUE
2020.11.18,England,Iceland,Europe,Europe,4,39,1669,1461,4,0,UEFA Nations League,London,England,FALSE,No,Win,82,70,82,89,85,72.2,72,74.5,338,288.7,2020,TRUE,FALSE,FALSE
2020.11.18,Belgium,Denmark,Europe,Europe,1,13,1765,1610,4,2,UEFA Nations League,Leuven,Belgium,FALSE,No,Win,90,83,80,87,82,78,76,82,339,319,2020,TRUE,FALSE,FALSE
2020.11.18,Northern Ireland,Romania,Europe,Europe,41,44,1458,1455,1,1,UEFA Nations League,Belfast,Northern Ireland,FALSE,No,Draw,69,78,75.2,65.7,72,73.8,74.3,74.8,281.9,300.9,2020,FALSE,TRUE,FALSE
2020.11.18,Austria,Norway,Europe,Europe,25,43,1523,1456,1,1,UEFA Nations League,Vienna,Austria,FALSE,No,Draw,75,77,77.5,76.7,82,75.2,79.3,79,311.2,310.5,2020,FALSE,TRUE,FALSE
2020.11.18,Czech Republic,Slovakia,Europe,Europe,45,37,1446,1466,2,0,UEFA Nations League,Plze_,Czech Republic,FALSE,No,Win,82,83,78.5,75.3,77.2,77.8,67.7,77.8,313,306.3,2020,TRUE,FALSE,FALSE
2020.11.18,Israel,Scotland,Europe,Europe,88,45,1275,1446,1,0,UEFA Nations League,Netanya,Israel,FALSE,No,Win,68,74,,78.3,69.8,77.8,73.7,78,216.1,303.5,2020,TRUE,FALSE,FALSE
2020.11.18,Hungary,Turkey,Europe,Europe,47,33,1439,1486,2,0,UEFA Nations League,Budapest,Hungary,FALSE,No,Win,85,77,73,70.3,72.5,77.5,77,77,300.8,308.5,2020,TRUE,FALSE,FALSE
2020.11.18,Serbia,Russia,Europe,Europe,30,34,1489,1480,5,0,UEFA Nations League,Belgrade,Serbia,FALSE,No,Win,73,80,72,81,80,77.5,77.7,78.2,306,313.4,2020,TRUE,FALSE,FALSE
2020.11.18,Republic of Ireland,Bulgaria,Europe,Europe,36,66,1467,1354,0,0,UEFA Nations League,Dublin,Republic of Ireland,FALSE,No,Draw,75,66,79,73.3,75.2,68.5,70.7,66.5,302.5,271.7,2020,FALSE,TRUE,FALSE
2020.11.18,Wales,Finland,Europe,Europe,20,55,1550,1402,3,1,UEFA Nations League,Cardiff,Wales,FALSE,No,Win,74,83,74,77,72,71.2,71.3,72,297,297.5,2020,TRUE,FALSE,FALSE
2020.11.18,Armenia,North Macedonia,Europe,Europe,101,65,1215,1356,1,0,UEFA Nations League,Nicosia,Cyprus,TRUE,No,Win,,71,,73.3,,67.8,72.7,75,73.3,286.5,2020,TRUE,FALSE,FALSE
2020.11.18,Georgia,Estonia,Europe,Europe,86,109,1287,1185,0,0,UEFA Nations League,Tbilisi,Georgia,FALSE,No,Draw,76,,68,,72,,,,216,,2020,FALSE,TRUE,FALSE
2020.11.18,Kosovo,Moldova,Europe,Europe,117,175,1158,954,1,0,UEFA Nations League,Pristina,Kosovo,FALSE,No,Win,69,69,71.8,75,72.8,66.5,62.3,,288.6,197.8,2020,TRUE,FALSE,FALSE
